시도,시군구,성별,총합계,D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),기타
경기도,군포시,여성,"5,430 ",,184 ,1 ,44 ,,,,5 ,3 ,36 ,,19 ,1 ,,,5 ,22 ,,97 ,,175 ,240 ,122 ,"2,577 ",986 ,599 ,69 ,5 ,232 ,8 
경기도,김포시,총계,"32,715 ",,582 ,13 ,162 ,,5 ,3 ,98 ,14 ,117 ,,118 ,1 ,,,20 ,"2,186 ",11 ,"13,217 ",4 ,788 ,884 ,"1,409 ","6,282 ","2,466 ","2,012 ","1,258 ",21 ,809 ,235 
경기도,김포시,남성,"23,244 ",,338 ,7 ,83 ,,4 ,2 ,85 ,6 ,41 ,,27 ,,,,14 ,"2,119 ",8 ,"12,730 ",4 ,304 ,422 ,394 ,"3,226 ","1,296 ",501 ,976 ,6 ,445 ,206 
경기도,김포시,여성,"9,471 ",,244 ,6 ,79 ,,1 ,1 ,13 ,8 ,76 ,,91 ,1 ,,,6 ,67 ,3 ,487 ,,484 ,462 ,"1,015 ","3,056 ","1,170 ","1,511 ",282 ,15 ,364 ,29 
경기도,남양주시,총계,"12,582 ",1 ,617 ,2 ,639 ,2 ,16 ,1 ,21 ,1 ,60 ,6 ,101 ,3 ,,,10 ,563 ,16 ,"3,681 ",,440 ,173 ,362 ,"2,424 ","1,099 ","1,651 ",452 ,14 ,141 ,86 
경기도,남양주시,남성,"6,998 ",,179 ,2 ,260 ,1 ,13 ,1 ,13 ,1 ,23 ,4 ,26 ,3 ,,,7 ,526 ,9 ,"3,321 ",,175 ,81 ,128 ,"1,019 ",429 ,270 ,359 ,1 ,71 ,76 
경기도,남양주시,여성,"5,584 ",1 ,438 ,,379 ,1 ,3 ,,8 ,,37 ,2 ,75 ,,,,3 ,37 ,7 ,360 ,,265 ,92 ,234 ,"1,405 ",670 ,"1,381 ",93 ,13 ,70 ,10 
경기도,동두천시,총계,"5,052 ",,322 ,3 ,215 ,,5 ,1 ,46 ,22 ,18 ,1 ,9 ,1 ,,,329 ,143 ,7 ,684 ,,137 ,127 ,237 ,621 ,319 ,465 ,678 ,4 ,38 ,620 
경기도,동두천시,남성,"2,878 ",,180 ,2 ,142 ,,4 ,1 ,42 ,19 ,8 ,,6 ,,,,11 ,140 ,5 ,624 ,,63 ,65 ,81 ,273 ,158 ,110 ,494 ,,16 ,434 
경기도,동두천시,여성,"2,174 ",,142 ,1 ,73 ,,1 ,,4 ,3 ,10 ,1 ,3 ,1 ,,,318 ,3 ,2 ,60 ,,74 ,62 ,156 ,348 ,161 ,355 ,184 ,4 ,22 ,186 
경기도,부천시 소사구,총계,"23,296 ",,434 ,,316 ,,1 ,2 ,13 ,1 ,27 ,1 ,22 ,,,,3 ,23 ,,83 ,2 ,619 ,"1,284 ",411 ,"10,844 ","6,689 ","1,237 ",59 ,5 ,"1,203 ",17 
