시도,시군구,성별,총합계,한국계중국인,베트남,중국,우즈베키스탄,네팔,미국,캄보디아,인도네시아,미얀마,필리핀,타이,몽골,스리랑카,카자흐스탄,한국계러시아인,방글라데시,일본,캐나다,러시아(연방),파키스탄,타이완,인도,키르기즈,라오스,오스트레일리아,영국,프랑스,말레이시아,남아프리카공화국,우크라이나,티모르민주공화국,독일,튀르키예,뉴질랜드,이집트,나이지리아,타지키스탄,홍콩,시리아,모로코,에티오피아,브라질,이탈리아,이란,스페인,가나,투르크메니스탄,예멘공화국,싱가포르,멕시코,아프가니스탄,네덜란드,리비아,사우디아라비아,르완다,폴란드,카메룬,튀니지,케냐,부룬디,탄자니아,콜롬비아,스웨덴,요르단,아일랜드,알제리,우간다,이라크,아제르바이잔,벨기에,페루,스위스,라이베리아,콩고민주공화국,노르웨이,수단,벨라루스,칠레,덴마크,오스트리아,핀란드,루마니아,헝가리,세네갈,아르헨티나,포르투갈,에콰도르,이스라엘,그리스,기니,말리,아랍에미리트연합,체코,코트디부아르,리투아니아,불가리아,베네수엘라,아이티,마카오,무국적,조지아,팔레스타인,짐바브웨,파라과이,시에라리온,가봉,감비아,앙골라,슬로바크,잠비아,크로아티아,코스타리카,아르메니아,도미니카공화국,라트비아,파나마,볼리비아,과테말라,영국외지민,브루나이,말라위,엘살바도르,세르비아,부르키나파소,몰도바,카타르,온두라스,룩셈부르크,마다가스카르,피지,쿠바,에스토니아,슬로베니아,레바논,모잠비크,토고,오만,니카라과,우루과이,쿠웨이트,콩고,국적불명,부탄,알바니아,남수단공화국,바누아투,트리니다드토바고,자메이카,도미니카연방,바레인,보츠와나,에스와티니,키프로스,몰타,베냉,모리타니,소말리아,국제연합,가이아나,솔로몬군도,세인트크리스토퍼네비스,레소토,니제르,바하마,파푸아뉴기니,아이슬란드,북마케도니아,중앙아프리카공화국,적도기니,기니비사우,보스니아-헤르체고비나,마샬군도,모리셔스,몬테네그로,나미비아,몰디브,바베이도스,그레나다,세인트루시아,차드,에리트레아,코소보,벨리즈,통가,키리바시,미이크로네시아,협약난민,앤티카바부다,안도라,영국해외영토시민,팔라우,코모로,지부티,국제연합 전문기구,영국외지시민,모나코,교황청,미상,홍콩거주난민,세인트빈센트그레나딘,수리남,산마리노,나우루,사모아,기타난민
경상남도,함안군,남성,"4,559",195,905,62,307,613,12,417,656,220,290,103,7,295,9,6,134,3,1,10,215,2,10,14,14,,,,1,7,1,14,,,,4,1,1,,16,,,3,,2,1,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,함안군,여성,960,107,356,67,41,86,15,38,11,2,31,15,4,40,9,8,35,22,,6,14,,,10,10,,,,,8,2,,,,,,,,,18,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,함양군,총계,660,64,190,25,18,143,17,32,8,24,16,41,5,6,1,,4,18,8,,1,,7,9,1,4,1,,,8,1,,,,1,1,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,함양군,남성,361,34,75,3,13,108,6,21,8,17,6,33,3,6,1,,4,1,3,,1,,2,3,,3,1,,,2,1,,,,,1,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,함양군,여성,299,30,115,22,5,35,11,11,,7,10,8,2,,,,,17,5,,,,5,6,1,1,,,,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,합천군,총계,"1,174",52,317,28,28,247,13,143,24,40,31,140,8,20,4,,5,24,,3,6,9,,,10,6,2,1,,8,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,합천군,남성,703,33,126,5,21,195,7,83,17,39,12,117,,19,3,,5,,,2,6,4,,,2,2,2,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,합천군,여성,471,19,191,23,7,52,6,60,7,1,19,23,8,1,1,,,24,,1,,5,,,8,4,,1,,7,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도,총계,총계,"98,849","7,471","25,875","10,189","7,259","6,180","1,914","4,819","6,385","2,469","3,323","2,258","1,242","3,253","2,818","1,461","1,483",710,339,944,"1,205",310,"1,080",811,"1,034",105,122,76,449,244,213,167,85,82,67,300,92,143,19,196,78,99,45,17,50,19,72,235,84,11,23,10,14,14,8,116,12,25,241,21,7,42,7,10,9,8,27,31,6,8,4,11,3,10,38,3,17,4,8,3,7,2,5,11,5,8,2,3,4,1,4,,,2,4,2,2,2,1,,13,2,1,10,,7,5,1,1,1,4,1,1,1,,2,,3,1,,1,19,1,,2,2,,2,1,6,4,3,2,6,4,1,,,1,1,,1,3,2,1,,,2,6,,,,1,,,,1,1,,,2,,1,,,1,,,5,1,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
경상북도,경산시,총계,"23,290",726,"7,622","5,395","3,006","1,055",187,355,629,381,272,236,437,409,56,51,292,111,44,110,376,41,408,348,26,13,18,28,16,18,13,7,6,22,6,30,16,62,4,7,9,67,10,8,8,5,34,10,2,2,11,3,6,1,7,83,3,4,7,4,,24,,1,1,1,6,14,1,5,1,2,,4,21,,2,2,2,1,,,1,1,2,,,,,,1,,,1,1,2,,2,,,1,,,9,,6,5,,1,,4,,,1,,,,,,,1,17,1,,1,1,,,,5,,1,1,,2,1,,,1,1,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
